abbreviation,replacement
a-6.,a-6020
a-s.,a-star
aac.,aachen
aach.,aachen
aar.,aarhus
aba.,ababa
abad.,abadan
abat.,abate
abb.,abbott
abbott.,abbottabad
abd.,abdulaziz
abda.,abdallah
abdom.,abdominal
abdomin.,abdominal
abdul-a.,abdul-aziz
abdul.,abdulaziz
abe.,aberdeen
aberc.,abercrombie
abercromb.,abercrombie
aberd.,aberdeen
aberta.,abertay
abh.,abha
abi.,abidin
abo.,aboriginal
abor.,aboriginal
aborig.,aboriginal
abr.,abramson
abt.,abteilung
abte.,abteilung
abtei.,abteilung
abteil.,abteilung
abth.,abtheilung
abtheil.,abtheilung
abu.,abuse
abus.,abuse
aca.,academy
acad.,academy
acade.,academy
academ.,academy
academic.,academician
acarol.,acarology
acc.,accelerator
accad.,accademia
acce.,accelerator
accel.,accelerator
accele.,accelerator
acceler.,accelerator
accelerat.,accelerator
acces.,access
acci.,accident
accid.,accident
acco.,accounting
account.,accounting
accr.,accreditation
accre.,accreditation
accred.,accreditation
accredit.,accreditation
accreditat.,accreditation
accum.,accumulation
accumul.,accumulation
accumulat.,accumulation
ace.,acecr
ach.,acharya
acid.,acids
acker.,ackerman
acous.,acoustics
acoust.,acoustics
acousti.,acoustics
acq.,acquisition
acquisit.,acquisition
acquisition.,acquisitions
acr.,acre
acre.,acreo
act.,activity
acti.,activity
activ.,activity
activa.,activation
activat.,activation
activit.,activity
actua.,actuarial
actuar.,actuarial
acuic.,acuicultura
acuicul.,acuicultura
acuicult.,acuicultura
acupunc.,acupuncture
acupunct.,acupuncture
acust.,acustica
ada.,adam
adam.,adams
adap.,adaptive
adapt.,adaptive
adaptat.,adaptation
adaptation.,adaptations
add.,addiction
addic.,addiction
addict.,addiction
addiction.,addictions
addit.,additives
addr.,address
addres.,address
ade.,adelaide
adf.,adfa
adh.,adhesion
adit.,aditya
adj.,adjunct
adju.,adjunct
adjunt.,adjunto
adjuv.,adjuvant
adlers.,adlershof
adm.,administration
admi.,administration
admin.,administration
admini.,administration
adminis.,administration
administ.,administration
administr.,administration
administrat.,administration
admins.,adminstration
adminst.,adminstration
admir.,admiralty
adn.,adnan
ado.,adolescent
adol.,adolescent
adoles.,adolescent
adolesc.,adolescent
adolescent.,adolescents
adopt.,adoption
adr.,adrian
ads.,adsorption
adsc.,adscrito
adscr.,adscrito
adscri.,adscrito
adscrit.,adscrito
adsorp.,adsorption
adsorpt.,adsorption
adu.,adult
adult.,adults
adulte.,adultes
adulto.,adultos
adv.,advanced
adva.,advanced
advan.,advanced
advanc.,advanced
advance.,advanced
advancem.,advancement
advent.,adventist
advert.,advertising
advi.,advisory
advis.,advisory
advisor.,advisory
advoc.,advocate
aec.,aecom
aeg.,aegean
aer.,aerospace
aero-eng.,aero-engine
aero-t.,aero-thermodynamics
aero-thermodyn.,aero-thermodynamics
aero.,aerospace
aerob.,aerobiology
aerobiol.,aerobiology
aerod.,aerodynamics
aerody.,aerodynamics
aerodyn.,aerodynamics
aerodyna.,aerodynamics
aerodynam.,aerodynamics
aeroelast.,aeroelasticity
aeroesp.,aeroespacial
aeroespac.,aeroespacial
aeroflightdyn.,aeroflightdynamics
aeroflightdynam.,aeroflightdynamics
aerohydr.,aerohydrodynamic
aerohydrodyn.,aerohydrodynamic
aerohydrodynam.,aerohydrodynamic
aerol.,aerological
aeromech.,aeromechanics
aeromed.,aeromedical
aeron.,aeronautics
aerona.,aeronautics
aeronau.,aeronautics
aeronaut.,aeronautics
