token,count
national,1321
center,2079
for,2100
injury,4
prevention,73
and,5033
control,127
chinese,195
acad,30
of,13246
sciences,1661
rochester,17
indian,69
veter.,7
res.,237
inst.,680
universidad,302
de,3193
ciencias,71
médicas,8
granma,2
kaiser,20
franz,6
josef,3
hospital,4045
ina-industrija,1
nafte,1
d.d.,1
anorganisch-chemisches,4
institut,544
der,155
technischen,28
universität,120
münchen,20
university,7082
northern,33
sweden,16
department,2373
ofmetallurgical,2
materials,233
engineering,1191
faculty,326
medicine,1089
chim.,8
molec.,79
et,217
biologique,5
cct-conicet-mendoza,1
ctro.,13
reg.,12
universitario,98
bariloche,3
technical,228
darmstadt,13
dept.,1505
mech./aero.,1
instituto,336
ciencia,21
materiales,16
madrid,18
(icmm-csic),1
ceramic,9
fuel,6
cells,1
limited,67
notre,10
dame,10
australia/marian,1
centre,946
univ,340
east,72
anglia,1
investigaciones,77
en,80
fisicoquímica,1
córdoba,13
(infiqc),1
pride,2
veterinary,156
tallinn,1
madidol,1
aston,5
infoboss,1
"co.,",112
ltd.,313
sangath,1
pathological,4
orthop.,9
surg.,91
t3,1
siedlce,3
natural,101
humanities,23
cent.,96
cardiol.,16
sissa,1
-,194
international,311
school,1305
advanced,132
studies,202
caterpillar,2
tractor,1
company,180
postgraduate,17
medical,1897
london,62
centro,192
aplicaciones,1
tecnológicas,4
y,184
desarrollo,10
nuclear,164
(ceaden),1
08,1
mai,2
1945,1
athens,30
economics,114
&,224
business,142
università,96
per,34
stranieri,1
di,444
siena,7
v.a.,3
amu,1
clinical,214
evaluative,4
martinique,2
voith,4
hydro,16
holding,3
gmbh,213
co.,161
kg,22
applied,214
optics,28
bureau,57
standards,17
autónoma,34
del,156
estado,28
morelos,5
leader,1
dept,278
med.sci.,1
kalafong,1
ctr.,112
cell.,20
molecular,229
biology,270
depto,3
quimica,19
earth,83
observatory,75
singapore,28
(eos),1
ecole,85
nationale,45
des,233
l'informatique,1
shandong,53
technology,1336
nat.,29
dairy,10
zona,5
"technology,",21
inc.,535
utad,1
5th,5
internal,49
biologie,28
médicale,4
has,3
deptartment,7
ise,3
the,1062
study,28
suicide,3
burden,1
neurological,34
institute,4355
spaulding,1
rehabilitation,60
physical,87
therapy,17
transportation,25
engng,2
uhasselt,1
lingnan,2
normal,64
div.,46
urol.,11
brackenridge,1
texas,136
children's,240
"urocor,",1
tech,39
augusta,2
mines,32
lancashire,6
hospitals,94
nhs,131
trust,167
showa,11
university.,12
endocrinol.,3
dep.,140
afyonkarahisar,1
kocatepe,3
ferris,1
state,865
college,1699
ucla,18
comprehensive,24
spine,9
papa,6
giovanni,25
xxiii,9
yrp,1
ubiquitous,2
networking,5
laboratory,651
communication,44
physiology,90
exelixis,1
sao,5
paulo,16
(unesp),1
ehime,10
southern,75
illinois,27
agric.,40
exp.,16
stn,2
universitatea,9
bucureşti,3
tarragona,2
joan,12
naval,66
air,55
warfare,12
aircraft,13
division,241
ministry,145
agriculture,207
forests,6
shree,3
bankey,1
bihari,1
dental,101
research,3015
sk,4
dipartimento,106
scienze,31
della,51
terra,12
istanbul,17
mehmet,3
akif,3
ersoy,3
thoracic,15
cardiovascular,70
surgery,232
training,64
faculte,20
medecine,26
rth,2
laennec,8
st,111
pierre,24
korean,5
academy,833
science,1205
biológicas,9
clemente,1
estable,1
(iibce),1
eye,74
ear,19
nijmegen,9
infection,14
comsat,1
fernando,4
da,52
fonseca,2
fn,7
u,36
sv.,4
anny,3
klinika,24
kardiologie,4
ikem,1
cho,1
ray,2
mexicano,3
transporte,1
associated,4
universities,20
istituto,138
superiore,8
sanitá,1
tohoku,24
univ.,997
mersin,5
üniversitesi,41
tip,24
fakültesi,15
hastanesi,6
catalonia,10
(upc),1
toxicology,27
unit.,1
carshalton,2
central,296
connecticut,18
deenanath,2
mangeshkar,2
m.,51
l.,27
s.,136
ansaldo,4
spa,10
kansai,17
med.,462
inova,6
health,1067
system,116
china,197
grid,35
hopital,94
ambroise-pare,1
ukraine,47
british,63
textile,15
group,125
africa,16
rice,8
(warda),1
virologia,1
animal,130
usda-aphis-ppq-cphst,1
environmental,192
protection,61
duke,16
translational,18
crucible,3
mechanical,109
systems,195
tripler,4
army,87
honolulu,1
goldwater,1
memorial,105
pharmacy,151
universidade,199
lisboa,33
usda-ars,20
ural,16
federal,214
named,15
after,13
first,121
president,3
russia,12
b.n.,1
yeltsin,2
ucb,1
mahsa,3
harvard,35
massachusetts,28
general,370
nuklearmedizinische,4
klinik,67
und,152
poliklinik,26
huntsman,3
polyurethanes,1
uberaba,2
chimica,20
e,180
industriale,3
grand,6
forks,1
hum.,9
nutr.,13
nicm,1
sony,12
csl,4
paris,113
samsung,24
electro-mechanics,2
ofcivil,1
eng,38
icems,2
california,188
darnall,3
heymans,1
pharmacology,51
estructura,1
la,332
materia,14
csic,34
ii,110
obstetrics,55
gynecology,46
mz,2
associates,52
boris,4
kidrič,2
novartis,16
respiratory,13
royal,205
australian,36
force,35
utsa,1
mpuat,1
information,202
facultad,53
exactas,7
naturales,16
risk,11
assessment,20
sch.,166
mcgill,21
"university,",38
macdonald,4
campus,31
21,1
almeida,2
cidca,1
almenmed.,1
orbis,2
málaga,4
departamento,215
endocrinología,3
e.,36
carolina,45
energie,4
nacional,170
parapléjicos,2
c.,47
u.,31
shah,6
csiro,50
production,37
siberian,43
"branch,",15
russian,187
ussr,53
agrarian,8
correspondence,1
télécom,4
microbiology,67
(g4),1
universitat,63
erlangen,8
c,15
chengdu,18
technological,73
grad.,25
indust.,19
administration,105
jct,1
historical,9
geology,34
paleontology,2
fairfax,5
mechanics,48
techna,2
physikalisch-technische,2
bundesanstalt,7
on,82
minority,1
disparities,2
u.s.,78
fish,15
wildlife,34
service,179
interní,2
hematoonkologická,2
bahonar,3
xi',2
an,17
allegheny,5
gen.,28
hosp.,260
dunǎrea,3
jos,7
galaţi,1
"act,",1
harbor,9
branch,79
oceanographic,12
self,1
defense,31
forces,27
teaching,47
peninsula,5
schools,8
dentistry,79
universitá,24
trento,4
nazionale,61
fisica,90
"nucleare,",3
sezione,29
lecce,1
hospitalier,84
universitaire,70
besançon,4
florida,63
intercommunal,1
ludlum,1
steel,36
corp,76
chubu,4
electric,136
power,161
king,57
abdul,4
aziz,2
city,189
azienda,46
usl,7
reggio,16
emilia,9
departments,88
agresearch,5
lincoln,12
fur,92
pflanzenbiochemie,2
constance,1
educ.,9
molecular/cell,2
laboratoire,162
biomécanique,1
mécanique,11
chocs,1
gestione,1
costruzione,1
oceanology,5
defence,51
establishment,24
atherogenics,1
pittsburgh,25
prague,14
muş,1
jss,8
serv.,29
obstetricia,17
ginecologia,12
changes,1
immunology,63
d'etudes,13
neige,1
government,68
physics,347
techniques,12
f.,61
physik,43
history,48
philosophy,13
maine,15
us,59
sichuan,21
san,176
francisco,31
unified,1
district,26
amgen,9
molecule,1
structure,4
neurobiol.,3
catharines's,1
st.,273
margaret,13
new,267
zealand,24
plant,88
food,176
in,217
dubai,4
carlos,28
xinjiang,11
soilsci,1
stanford,20
tergooi,2
napier,2
korea,69
oriental,5
(kiom),1
gynecologic,5
nutrition,88
anna,14
molecular/cellbiol.,1
islamic,63
azad,56
washington/seattle,1
cancer,386
care,126
alliance,8
vrije,7
petroleum,62
chemical,217
corp.,68
pharmaceutical,155
rheumatology,24
fac.,39
archit.,1
euratom/ciemat,2
fusion,9
association,80
sanming,1
wheelock,2
nova,25
(unl),2
kfki,2
particle,10
nucl.,14
phys.,60
marywood,1
cruz,14
roja,4
complutense,2
forest,71
rangeland,1
ecosystem,12
frauenklin.,5
murata,6
mfg.,8
janssen,14
foundation,289
d'anatomie/biologie,1
cellulaire,9
ecl.,6
natl.,130
sup.,8
telecom.,3
hôpital,178
général,4
cell,92
biology/anatomy,5
martin,22
modern,18
acurex,2
departement,62
chemische,7
ingenieurstechnieken,1
chemical/biochem.,2
eng.,196
anas,1
rgpv,1
biomechanics,4
technologies,135
rouen,13
lab.,82
vision,17
aerospace,79
(iaat),1
hanyang,5
cyber,1
ceará,4
dunn,3
nutritional,11
rovereto,1
muller,3
oregon,21
für,68
physiologie,10
i,179
military,83
gordon,7
life,92
biogem,1
igus,1
bgp,1
cnpc,4
social,97
welfare,14
c/o,11
biological,97
département,51
psychologie,2
can.for.serv.,1
shouldice,1
bon,2
secours,2
urology,29
rl-10,1
electronic,107
nuclearengineering,2
gastrointestinal,9
stockholm,10
cognitive,15
ospedaliera,27
maria,35
kathir,1
ofbiotechnology,1
japan,64
agricultural,231
(jircas),1
photonics,15
clinica,18
universitaria,17
navarra,10
chemistry,286
(d9nm),1
orthopaedics,26
aalborg,8
sygehus,12
nord,14
cellularbiology/anatomy,1
sumitomo,16
besshi,1
iclinic,1
putian,3
rolls-royce,4
at,197
ntu,4
corporate,11
lab,67
buea,1
ygeia,1
tokyo,96
metropolitan,42
komagome,3
fraunhofer,83
microstructure,4
imws,1
ofuna,1
chuo,4
b,31
novi,3
sad,3
taipei,12
