word,tag
curridge,^L
hospitalet,^L
wuchi,^L
weissenburg in bayern,^L
blankenheim,^L
dehua,^L
ferentino city,^L
huron park,^L
taunussteinneuhof,^L
tulita,^L
siegburg,^L
stowmarket,^L
matsusaka mie,^L
christmas island,^L
lawrencetown,^L
fegen,^L
wieze,^L
colognygeneva,^L
shiso district,^L
fronton,^L
vilerbanne,^L
altishofen,^L
chagford,^L
saintjulien engenevois,^L
upper hutt,^L
dansk salts havn,^L
galmpton,^L
gronwohld,^L
rotenburg an de fulda,^L
fredrikstad,^L
kalinin,^L
mysore,^L
wahoo,^L
camposampiero,^L
vang havn,^L
porto de ascoli,^L
moberly,^L
secunderbad,^L
young harris,^L
itabashku tokyo,^L
dahran,^L
norge,^L
elblag,^L
muiatoku tokyo,^L
metton,^L
estonian,^L
itabahisku tokyo,^L
banska stiavnica,^L
lagny surmarne,^L
jarvamaa,^L
rodney,^L
nishiaraijuku kawaguchi saitama,^L
lago verde,^L
alta lake,^L
abbotstone,^L
braddon,^L
laxenburg,^L
andujar,^L
new denhi,^L
lizums,^L
stetienne durouvray,^L
toshimaouku tokyo,^L
qeshm,^L
playa del carmen,^L
nagagun wakayama,^L
hadstock,^L
mamonova,^L
brockport,^L
apopka,^L
borsfleth,^L
durbanville,^L
islahiye,^L
walden,^L
doar nahefer,^L
olympia fields,^L
melipilla,^L
palermo,^L
lynton,^L
ketton,^L
meadow lake,^L
morgongava,^L
fizzonasco di pieve emanuele,^L
dresano,^L
fleet,^L
saint hyacinthe,^L
neuilly surseine,^L
hardwicke,^L
danzhou,^L
yam island,^L
charbonnieres les bains,^L
kanazawaku 2368605 yokohama,^L
magdalen is,^L
miyamaeku 163 kawasaki,^L
tshikapa,^L
delcevo,^L
el mohandesseen,^L
oschersleben,^L
delanco,^L
stjeandemaurienne,^L
harpur hill,^L
powassan,^L
tejen,^L
pointe au pic,^L
evere,^L
west flanders,^L
glentham,^L
national city,^L
estado do maranhao,^L
kamaran downs,^L
massillon,^L
izumisano osaka,^L
torre del mar,^L
moriguchi osaka,^L
mochigaseshi,^L
macomer,^L
chikushino city fukuoka,^L
kiryucity gunma,^L
herkdestad,^L
kexby,^L
sakai osaka prefecture,^L
dnepropetrowsk,^L
gitaldah road,^L
kumage,^L
jarjis,^L
karlskoga,^L
achra,^L
river forest,^L
kisarazu,^L
batcombe,^L
draper,^L
crookhaven,^L
parnell place,^L
ulfvik,^L
province of ascoli piceno,^L
wakunai,^L
clnkiisaku nagoya,^L
aosta vd,^L
tungsten,^L
medina,^L
marshfield,^L
chukursay,^L
kawakuboshi,^L
tunapuna,^L
upper clatford,^L
mount saint aignan,^L
hellenikon athens,^L
chiyotoku tokyo,^L
veruno city,^L
minatare,^L
bocholt,^L
pollein,^L
fuchu tokyo,^L
west cliffe,^L
jefferson,^L
gestingthorpe,^L
diego garcia,^L
wackernheim,^L
venezuela,^L
alvdalen,^L
invergarry,^L
ronneburg,^L
nanyuki,^L
pemba,^L
federative republic of brazil,^L
nagent surmarne,^L
olostrom,^L
tokujicho,^L
kobuchizawa,^L
deseronto,^L
cambewarra,^L
misakuboshi,^L
xiasha college town,^L
narni,^L
jeollabukdo,^L
schonkirchen,^L
amsterdamzuidoost,^L
winthrop harbor,^L
sthlingen,^L
morrum,^L
llanfrynach,^L
piesteritz,^L
boscastle,^L
lejona,^L
bangla desh,^L
breganze,^L
nakaizushi,^L
mazabuka,^L
yayoicyouinageku chiba,^L
algerie,^L
hannoversch muenden,^L
bunkyoku 112 tokyo,^L
anyang,^L
benito juarez,^L
fareham,^L
caesrea,^L
bafra,^L
richardson,^L
orpheus island resort,^L
